               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13272,             0.11179,                   0,           0.0058597,            0.034043,           0.0026881,          0.00054309,             0.11419,             0.12635,                   0,            0.070882,           0.0032353,           0.0032353
                   1,             0.11581,            0.099756,                   0,              0.1246,             0.23534,            0.083463,            0.018633,             0.10219,             0.17779,                   0,            0.040557,           0.0062435,           0.0062435
                   2,            0.095814,             0.12206,                   0,             0.34611,             0.37151,              0.2549,            0.068723,            0.080726,             0.16579,                   0,           0.0099021,           0.0089217,           0.0089217
                   3,            0.085698,             0.13687,                   0,             0.20191,              0.2605,             0.12332,            0.024894,            0.084336,             0.18721,                   0,            0.008515,            0.008515,            0.008515
                   4,            0.080255,             0.13411,                   0,             0.45107,             0.46278,             0.44311,             0.15207,            0.068547,             0.16917,                   0,            0.008515,            0.008515,            0.008515
                   5,            0.074104,             0.13766,                   0,             0.43712,             0.47567,             0.43882,              0.1458,            0.069662,             0.19052,                   0,             0.00802,             0.00802,             0.00802
                   6,             0.07285,             0.13749,                   0,              0.4473,             0.46272,             0.42394,             0.12713,            0.069889,              0.1738,                   0,            0.007525,            0.007525,            0.007525
                   7,            0.071669,             0.13918,                   0,             0.67722,              0.6444,             0.66851,             0.25187,             0.05761,             0.16189,                   0,             0.00703,             0.00703,             0.00703
                   8,            0.065362,             0.14052,                   0,             0.65535,              0.6333,             0.64755,             0.22505,            0.060009,              0.1514,                   0,            0.006535,            0.006535,            0.006535
                   9,            0.064325,             0.13202,                   0,             0.40099,             0.60981,             0.43711,             0.18066,            0.060608,             0.15307,                   0,             0.00604,             0.00604,             0.00604
                  10,             0.06155,              0.1302,                   0,             0.65253,             0.64107,             0.67706,             0.28193,            0.058433,             0.14296,                   0,            0.005545,            0.005545,            0.005545
                  11,            0.062923,             0.13128,                   0,             0.78174,             0.69806,             0.76401,             0.31472,            0.054099,             0.15267,                   0,             0.00505,             0.00505,             0.00505
                  12,            0.059649,             0.13668,                   0,             0.80086,             0.69066,             0.76143,              0.3096,            0.053257,             0.14693,                   0,            0.004555,            0.004555,            0.004555
                  13,            0.059608,             0.12922,                   0,             0.80019,             0.70017,             0.77293,             0.32975,            0.054308,              0.1501,                   0,             0.00406,             0.00406,             0.00406
                  14,            0.058169,             0.13142,                   0,             0.81539,              0.6975,             0.78272,             0.33569,             0.05298,             0.14081,                   0,            0.003565,            0.003565,            0.003565
                  15,             0.05799,             0.12818,                   0,             0.82453,             0.69809,             0.78729,             0.34133,            0.053164,             0.13891,                   0,             0.00307,             0.00307,             0.00307
                  16,            0.054725,             0.13468,                   0,             0.82727,             0.70889,             0.79544,             0.34454,            0.051569,             0.13871,                   0,            0.002575,            0.002575,            0.002575
                  17,            0.057318,             0.12934,                   0,             0.82169,             0.70657,             0.78853,             0.34276,            0.050025,              0.1415,                   0,             0.00208,             0.00208,             0.00208
                  18,            0.056706,             0.13248,                   0,             0.82267,             0.71064,             0.79325,             0.34481,            0.050401,              0.1389,                   0,            0.001585,            0.001585,            0.001585
                  19,            0.055051,              0.1291,                   0,               0.837,              0.7123,             0.79761,             0.34967,            0.048371,             0.13794,                   0,             0.00109,             0.00109,             0.00109
